booking_id,user_id,flight_id,price_id,booking_date,booking_status,seat_number,total_paid
1,1,127,2093,2024-09-24 12:51:00,Cancelled,38E,2458.09
2,1,254,4215,2024-03-25 22:38:00,Pending,21D,2146.21
3,1,289,4742,2024-12-05 15:06:00,Confirmed,9C,6640.91
4,1,186,3088,2024-04-02 02:55:00,Cancelled,48D,5243.25
5,1,126,2070,2024-03-09 04:57:00,Cancelled,15E,1144.89
6,1,221,3683,2024-03-17 07:15:00,Confirmed,8F,465.51
7,1,273,4504,2024-08-01 12:58:00,Completed,37B,3319.39
8,1,86,1413,2024-09-28 16:59:00,Cancelled,14B,2977.34
9,1,72,1194,2024-02-02 03:00:00,Confirmed,1A,162.62
10,1,31,517,2024-12-17 12:29:00,Confirmed,2E,2964.36
11,1,298,4890,2024-11-28 17:58:00,Confirmed,25A,242.25
12,2,272,4488,2024-02-27 09:12:00,Completed,19A,1041.4
13,2,117,1928,2024-09-10 10:41:00,Completed,38E,804.55
14,2,24,389,2024-08-09 13:50:00,Completed,42B,362.12
15,3,157,2580,2024-05-14 18:20:00,Completed,3A,639.81
16,3,99,1627,2024-12-25 00:29:00,Confirmed,12A,8604.01
17,3,183,3032,2024-05-11 23:37:00,Completed,22A,6329.74
18,3,23,378,2024-07-14 21:24:00,Confirmed,1F,2826.72
19,3,194,3220,2024-06-10 02:45:00,Completed,15C,2144.2
20,3,1,13,2024-08-18 10:06:00,Completed,38C,2283.54
21,4,308,5068,2024-08-02 16:39:00,Completed,49B,1900.47
22,4,211,3522,2024-07-18 06:18:00,Confirmed,47E,2423.87
23,4,282,4626,2024-10-13 05:24:00,Completed,34B,554.97
24,4,268,4424,2024-07-18 17:33:00,Cancelled,31E,3413.25
25,4,238,3976,2024-10-03 11:01:00,Cancelled,12C,713.03
26,4,222,3716,2024-02-19 14:57:00,Cancelled,16B,4732.85
27,4,11,183,2024-02-05 13:56:00,Pending,30F,3127.6
28,4,258,4277,2024-10-18 05:24:00,Pending,36A,3377.83
29,4,286,4683,2024-06-05 02:50:00,Confirmed,21A,542.52
30,4,225,3773,2024-08-15 09:45:00,Completed,32C,7404.44
31,4,190,3155,2024-10-06 02:06:00,Completed,42E,613.08
32,4,71,1186,2024-05-03 19:45:00,Completed,28C,4480.99
33,4,89,1451,2024-03-05 19:30:00,Cancelled,29A,356.08
34,4,131,2166,2024-12-24 11:17:00,Confirmed,36C,8001.29
35,4,146,2406,2024-06-16 01:20:00,Confirmed,1E,2934.0
36,5,62,1035,2024-06-16 00:45:00,Completed,4A,1816.99
37,5,197,3272,2024-04-23 10:26:00,Confirmed,11B,6390.74
38,5,67,1115,2024-05-28 15:11:00,Completed,40C,6717.99
39,5,140,2294,2024-01-02 02:31:00,Completed,34B,622.45
40,5,80,1319,2024-12-09 22:28:00,Confirmed,27A,3128.09
41,6,269,4443,2024-06-01 15:04:00,Confirmed,36F,4085.47
42,6,29,484,2024-02-04 18:23:00,Cancelled,30A,3167.13
43,6,43,706,2024-06-06 13:05:00,Confirmed,24B,619.03
44,6,216,3610,2024-01-27 18:08:00,Confirmed,5D,7249.9
45,6,296,4864,2024-06-22 00:00:00,Confirmed,45F,759.81
46,6,43,710,2024-09-19 09:35:00,Cancelled,15F,308.12
47,6,70,1154,2024-10-17 14:26:00,Cancelled,27C,500.22
48,6,65,1078,2024-10-09 08:30:00,Confirmed,47A,676.54
49,6,254,4217,2024-03-16 06:51:00,Confirmed,14F,6561.63
50,7,35,580,2024-01-09 10:02:00,Completed,43E,4556.89
51,7,199,3304,2024-04-22 05:04:00,Confirmed,47C,3201.99
52,7,215,3587,2024-05-17 07:21:00,Confirmed,34A,1841.42
53,7,200,3323,2024-05-18 13:02:00,Confirmed,38E,2157.68
54,7,109,1795,2024-12-09 09:59:00,Confirmed,20B,264.53
55,7,158,2605,2024-04-13 20:54:00,Completed,35A,7012.98
56,7,165,2711,2024-06-02 14:52:00,Confirmed,4D,3114.58
57,7,178,2950,2024-08-20 10:22:00,Pending,11B,5707.01
58,7,282,4625,2024-03-24 00:38:00,Completed,50C,147.2
59,7,53,878,2024-01-16 20:44:00,Confirmed,39A,1958.76
60,7,116,1914,2024-02-03 03:29:00,Completed,7E,6346.89
