price_id,flight_id,cabin_class,base_price,seats_available,price_date
1,1,Economy,597.27,52,2024-04-08
2,1,Economy,592.73,161,2024-03-25
3,1,Economy,126.33,107,2024-01-15
4,1,Economy,569.93,169,2024-04-22
5,1,Economy,473.81,159,2024-02-26
6,1,Economy,531.83,35,2024-06-17
7,1,Business,2483.42,31,2024-01-15
8,1,Business,1076.75,12,2024-04-22
9,1,Business,2467.1,33,2024-05-06
10,1,Business,2935.49,22,2024-06-17
11,1,Business,2288.25,18,2024-02-26
12,1,Business,984.9,35,2024-05-20
13,1,First,2076.5,5,2024-02-12
14,1,First,7441.28,36,2024-06-03
15,1,First,6014.13,9,2024-04-08
16,1,First,7696.68,32,2024-03-11
17,1,First,2450.29,6,2024-06-17
18,1,First,7428.68,14,2024-01-01
19,2,Economy,714.42,74,2024-02-26
20,2,Economy,364.95,173,2024-06-17
21,2,Economy,332.64,189,2024-04-08
22,2,Economy,198.81,194,2024-01-01
23,2,Economy,725.4,2,2024-01-15
24,2,Economy,699.36,169,2024-01-29
25,2,Business,1038.89,25,2024-01-29
26,2,Business,1560.6,29,2024-03-11
27,2,Business,1252.4,24,2024-06-03
28,2,Business,2255.77,30,2024-04-08
29,2,Business,2519.76,10,2024-02-26
30,2,Business,871.34,3,2024-01-15
31,2,Business,2955.77,10,2024-06-17
32,2,Business,848.91,37,2024-03-25
33,2,First,6674.99,39,2024-06-17
34,2,First,2172.9,8,2024-05-06
35,2,First,4898.48,31,2024-05-20
36,2,First,2677.62,26,2024-04-08
37,2,First,4644.13,4,2024-01-29
38,2,First,3569.68,20,2024-03-25
39,3,Economy,641.92,147,2024-06-03
40,3,Economy,612.17,57,2024-05-20
41,3,Economy,784.97,171,2024-04-22
42,3,Business,2188.11,15,2024-04-22
43,3,Business,1756.63,24,2024-06-17
44,3,Business,956.77,35,2024-05-06
45,3,Business,2740.95,39,2024-01-15
46,3,Business,730.96,10,2024-03-25
47,3,First,3985.37,17,2024-04-08
48,3,First,2302.1,14,2024-06-17
49,3,First,5302.97,24,2024-01-29
50,3,First,4419.66,15,2024-01-15
51,3,First,2472.98,28,2024-06-03
52,3,First,6807.57,28,2024-03-11
53,3,First,2528.12,31,2024-05-06
54,4,Economy,400.39,142,2024-03-11
55,4,Economy,493.39,23,2024-01-15
56,4,Economy,658.41,158,2024-04-08
57,4,Economy,553.53,130,2024-01-01
58,4,Economy,502.39,167,2024-06-03
59,4,Economy,576.6,87,2024-03-25
60,4,Business,2441.8,38,2024-01-01
61,4,Business,1735.52,23,2024-02-12
62,4,Business,2318.19,7,2024-04-08
63,4,Business,833.85,14,2024-03-11
64,4,Business,605.27,22,2024-04-22
65,4,First,4954.53,26,2024-06-17
66,4,First,2641.77,39,2024-02-26
67,4,First,3175.53,7,2024-04-22
68,4,First,7581.3,25,2024-05-20
69,4,First,3293.54,12,2024-03-11
70,4,First,6300.73,6,2024-01-15
71,4,First,6542.9,2,2024-01-01
72,4,First,7559.76,37,2024-04-08
73,5,Economy,567.75,129,2024-06-17
74,5,Economy,211.55,127,2024-04-08
75,5,Economy,122.95,188,2024-06-03
76,5,Business,1759.04,32,2024-04-22
77,5,Business,2474.6,11,2024-03-25
78,5,Business,2260.36,11,2024-05-06
79,5,First,7495.46,15,2024-01-29
80,5,First,3641.58,21,2024-01-15
81,5,First,7822.95,28,2024-03-25
