flight_id,airline_id,origin_city_id,destination_city_id,flight_number,departure_time,arrival_time,duration_minutes,aircraft_type
1,4,1,2,KQ363,15:45,00:36,531,Boeing 787
2,4,1,2,KQ850,11:15,14:38,203,Airbus A321neo
3,4,1,2,KQ600,05:00,14:56,596,Boeing 737
4,4,1,2,KQ959,02:00,03:06,66,Airbus A380
5,10,1,4,SA962,20:15,22:24,129,Boeing 787
6,10,1,4,SA109,06:45,14:07,442,Boeing 737
7,10,1,4,SA732,20:45,06:04,559,Boeing 737
8,3,1,7,ET644,17:45,18:57,72,Boeing 737
9,3,1,7,ET642,08:30,09:47,77,Airbus A321neo
10,2,1,9,EK925,05:00,07:38,158,Airbus A321neo
11,2,1,9,EK252,07:15,18:49,694,Airbus A321neo
12,2,1,9,EK358,11:30,19:16,466,Boeing 777
13,2,1,9,EK482,12:45,23:23,638,Airbus A320
14,2,1,9,EK813,07:30,09:52,142,Boeing 737
15,1,1,10,QR515,12:45,23:10,625,Bombardier Q400
16,1,1,10,QR157,20:00,23:55,235,Boeing 777
17,12,1,11,TC965,13:30,00:09,639,Boeing 777
18,12,1,11,TC640,01:15,05:51,276,Boeing 777X
19,12,1,11,TC586,08:00,10:16,136,Airbus A330
20,12,1,11,TC656,18:00,22:03,243,Airbus A350
21,12,1,11,TC116,06:15,14:02,467,Boeing 777
22,8,1,12,AF266,18:15,04:55,640,Airbus A380
23,8,1,12,AF793,17:30,01:03,453,Boeing 787
24,8,1,12,AF909,22:00,07:32,572,Airbus A350
25,8,1,12,AF154,03:45,08:42,297,Boeing 777
26,6,1,14,LH719,19:45,02:19,394,Boeing 737
27,6,1,14,LH749,08:45,18:07,562,Airbus A320
28,6,1,14,LH464,17:45,02:07,502,Boeing 787
29,6,1,14,LH796,18:45,21:12,147,Boeing 777X
30,5,1,15,TK917,07:00,09:24,144,Airbus A330
31,5,1,15,TK257,12:15,19:53,458,Airbus A350
32,5,1,15,TK469,03:00,04:05,65,Airbus A330
33,5,1,15,TK555,11:30,14:14,164,Boeing 787
34,14,1,3,PW291,13:45,00:15,630,Airbus A321neo
35,14,1,3,PW624,13:00,14:26,86,Boeing 777
36,10,2,4,SA667,02:30,10:04,454,Boeing 737
37,10,2,4,SA398,13:45,16:11,146,Airbus A321neo
38,10,2,4,SA348,18:15,01:44,449,Boeing 787
39,10,2,4,SA242,08:30,14:04,334,Bombardier Q400
40,3,2,7,ET164,05:45,11:27,342,Airbus A380
41,3,2,7,ET406,15:00,22:09,429,Airbus A330
42,3,2,7,ET352,20:45,07:53,668,Boeing 777X
43,2,2,9,EK568,03:15,09:26,371,Boeing 737
44,2,2,9,EK505,10:45,17:22,397,Bombardier Q400
45,2,2,9,EK442,13:15,19:22,367,Airbus A350
46,1,2,10,QR590,10:15,18:02,467,Airbus A350
47,1,2,10,QR398,22:45,09:34,649,Airbus A320
48,1,2,10,QR433,12:30,20:12,462,Airbus A350
49,7,2,11,BA677,06:15,16:38,623,Boeing 737
50,7,2,11,BA844,14:15,22:43,508,Airbus A330
51,8,2,12,AF938,13:45,17:07,202,Airbus A330
52,8,2,12,AF347,08:15,16:28,493,Airbus A380
53,9,2,13,KL559,19:45,06:41,656,Airbus A380
54,9,2,13,KL647,16:45,03:01,616,Boeing 737
55,5,2,15,TK818,17:00,19:51,171,Airbus A320
56,5,2,15,TK773,21:30,01:20,230,Boeing 777X
57,5,2,15,TK145,18:45,01:24,399,Airbus A380
58,5,2,15,TK208,00:00,05:24,324,Airbus A320
59,2,4,9,EK556,11:45,20:39,534,Boeing 777X
60,2,4,9,EK807,16:15,23:08,413,Boeing 737
61,2,4,9,EK594,03:30,11:35,485,Boeing 777
62,1,4,10,QR951,04:30,10:49,379,Airbus A350
63,1,4,10,QR566,06:45,13:41,416,Bombardier Q400
64,7,4,11,BA548,22:45,05:11,386,Boeing 777
65,7,4,11,BA407,01:00,02:23,83,Airbus A350
66,8,4,12,AF919,05:15,15:03,588,Boeing 787
67,8,4,12,AF665,05:30,16:03,633,Airbus A380
68,6,4,14,LH337,12:15,16:25,250,Airbus A380
69,6,4,14,LH505,00:15,08:55,520,Boeing 777X
70,6,4,14,LH539,12:00,16:39,279,Airbus A320
71,6,4,14,LH385,22:00,08:51,651,Boeing 777
72,6,4,14,LH918,17:15,00:29,434,Airbus A350
73,2,6,9,EK216,08:45,18:45,600,Airbus A350
74,2,6,9,EK711,12:45,23:46,661,Boeing 777
75,2,6,9,EK456,11:45,23:17,692,Boeing 787
76,1,6,10,QR729,18:00,21:17,197,Airbus A350
77,1,6,10,QR220,07:30,10:29,179,Boeing 787
78,1,6,10,QR482,22:15,07:58,583,Airbus A380
79,1,6,10,QR528,19:15,06:03,648,Airbus A380
80,7,6,11,BA290,15:15,01:43,628,Boeing 787
81,7,6,11,BA601,09:15,13:26,251,Airbus A350
82,7,6,11,BA962,14:00,21:07,427,Boeing 737
83,7,6,11,BA596,04:15,11:48,453,Airbus A321neo
84,7,6,11,BA617,20:45,04:43,478,Bombardier Q400
85,6,6,14,LH827,14:45,18:36,231,Boeing 777
86,6,6,14,LH678,00:15,06:14,359,Boeing 737
87,6,6,14,LH381,07:30,11:22,232,Bombardier Q400
88,6,6,14,LH679,15:00,01:46,646,Boeing 777
89,6,6,14,LH374,17:30,03:45,615,Boeing 737
90,5,6,15,TK659,06:45,09:29,164,Airbus A320
91,5,6,15,TK404,01:45,07:14,329,Airbus A350
92,5,6,15,TK982,02:45,05:45,180,Airbus A320
93,5,6,15,TK314,18:30,05:54,684,Airbus A380
94,5,6,15,TK269,19:15,23:46,271,Airbus A320
95,2,7,9,EK683,11:30,22:41,671,Airbus A321neo
96,2,7,9,EK272,10:30,16:26,356,Boeing 777X
97,1,7,10,QR978,16:00,19:18,198,Airbus A380
